customer_id,website_visits_30d,order_count_90d,membership_months,avg_discount_rate_90d,next_30d_sales
C0001,30,4,50,0.037,168362
C0002,34,3,10,0.08,139554
C0003,29,3,7,0.027,120355
C0004,24,3,34,0.09,207844
C0005,25,11,8,0.035,337337
C0006,30,0,40,0.014,145207
C0007,25,4,33,0.035,132862
C0008,32,2,39,0.086,128755
C0009,32,7,30,0.063,302803
C0010,34,5,47,0.017,152057
C0011,31,1,39,0.081,198692
C0012,25,5,25,0.067,152394
C0013,30,3,1,0.036,187097
C0014,24,5,17,0.05,173500
C0015,23,4,8,0.066,211092
C0016,21,3,1,0.064,253706
C0017,25,2,17,0.046,60719
C0018,22,3,13,0.047,176548
C0019,29,3,5,0.027,94524
C0020,22,4,19,0.041,193767
C0021,32,5,31,0.019,223533
C0022,27,3,11,0.019,162312
C0023,40,2,17,0.036,140071
C0024,30,5,2,0.082,235779
C0025,33,3,4,0.059,119177
C0026,19,3,10,0.091,192087
C0027,35,3,28,0.069,182846
C0028,31,4,40,0.082,173766
C0029,35,4,48,0.037,288833
C0030,34,9,38,0.035,329193
C0031,25,1,38,0.057,205377
C0032,31,6,57,0.063,322437
C0033,19,6,16,0.034,184685
C0034,31,6,48,0.049,266795
C0035,37,6,57,0.039,294006
C0036,37,5,35,0.188,320761
C0037,29,0,51,0.074,154633
C0038,33,4,9,0.069,203840
C0039,18,2,53,0.039,149374
C0040,26,2,34,0.002,150291
C0041,35,5,14,0.103,278651
C0042,19,3,4,0.024,134650
C0043,29,0,44,0.046,115555
C0044,43,7,26,0.022,275102
C0045,38,4,19,0.112,203878
C0046,26,5,24,0.098,172467
C0047,16,1,60,0.018,107277
C0048,34,1,26,0.03,196545
C0049,32,2,5,0.061,139599
C0050,25,8,17,0.006,291734
C0051,40,2,9,0.008,74384
C0052,21,3,42,0.04,195091
C0053,32,4,49,0.109,231023
C0054,14,5,51,0.033,194140
C0055,33,5,38,0.101,256264
C0056,25,4,47,0.071,197176
C0057,36,2,26,0.043,97854
C0058,31,3,38,0.096,233159
C0059,35,7,7,0.034,270226
C0060,26,3,33,0.087,173222
C0061,27,6,34,0.132,225344
C0062,42,2,2,0.038,111695
C0063,24,0,33,0.013,112026
C0064,32,3,44,0.004,252990
C0065,24,3,23,0.04,171811
C0066,23,5,33,0.045,167753
C0067,18,6,18,0.056,222959
C0068,25,5,17,0.076,208313
C0069,31,6,8,0.065,266092
C0070,18,6,20,0.033,235126
C0071,31,6,49,0.027,163306
C0072,30,2,57,0.02,202983
C0073,31,5,39,0.072,207538
C0074,33,3,38,0.09,154739
C0075,35,1,37,0.025,148953
C0076,39,1,29,0.086,179464
C0077,34,4,26,0.045,154624
C0078,31,3,38,0.063,221250
C0079,43,3,48,0.121,266247
C0080,24,5,25,0.056,214224
C0081,16,3,34,0.024,124553
C0082,27,1,29,0.019,95692
C0083,27,1,18,0.064,161828
C0084,24,6,18,0.032,172267
C0085,22,3,5,0.108,190196
C0086,26,3,27,0.039,166788
C0087,27,4,43,0.061,210676
C0088,24,2,42,0.071,104047
C0089,28,5,60,0.15,259965
C0090,24,5,3,0.037,211785
C0091,33,4,46,0.066,183806
C0092,33,5,48,0.075,273002
C0093,20,4,27,0.051,186045
C0094,38,6,17,0.038,233309
C0095,27,3,22,0.023,198104
C0096,33,2,41,0.094,108641
C0097,30,4,52,0.103,246324
C0098,25,5,39,0.083,287570
C0099,36,3,31,0.119,258968
C0100,28,2,40,0.07,184343
C0101,38,2,5,0.028,145181
C0102,34,2,37,0.053,156737
C0103,26,3,3,0.021,138028
C0104,32,0,58,0.041,166963
C0105,14,4,54,0.1,172146
C0106,20,2,31,0.084,173330
C0107,35,3,23,0.024,261481
C0108,31,2,44,0.148,188874
C0109,22,7,39,0.025,213696
C0110,19,3,43,0.068,128274
C0111,15,1,31,0.087,141390
C0112,33,5,15,0.096,226489
C0113,28,1,5,0.024,141909
C0114,25,3,17,0.029,141393
C0115,28,5,32,0.039,254542
C0116,32,5,26,0.044,223980
C0117,24,3,31,0.105,154712
C0118,28,3,17,0.039,153935
C0119,41,3,57,0.057,193013
C0120,35,5,23,0.026,300708
C0121,27,2,51,0.073,175417
C0122,32,2,24,0.052,185318
C0123,23,6,27,0.055,215260
C0124,29,3,37,0.125,162533
C0125,33,3,16,0.01,166114
C0126,29,2,14,0.026,182322
C0127,25,1,23,0.068,108314
C0128,30,1,49,0.041,126961
C0129,21,2,9,0.049,130111
C0130,24,3,27,0.073,190056
C0131,40,0,41,0.093,214490
C0132,23,6,43,0.043,259271
C0133,38,9,27,0.088,359880
C0134,40,4,5,0.038,230615
C0135,24,5,1,0.057,150754
C0136,25,1,29,0.056,96663
C0137,30,3,49,0.067,166874
C0138,22,4,2,0.048,117815
C0139,34,3,54,0.008,238281
C0140,32,3,41,0.09,215152
C0141,38,6,1,0.166,260862
C0142,33,4,21,0.092,120715
C0143,32,4,14,0.027,266452
C0144,25,3,57,0.098,173740
C0145,30,2,34,0.088,243853
C0146,32,4,20,0.094,157897
C0147,32,3,17,0.047,149376
C0148,20,5,34,0.115,142450
C0149,35,4,1,0.071,207804
C0150,35,4,16,0.085,171906
C0151,22,2,10,0.029,87615
C0152,26,3,38,0.049,135732
C0153,28,4,41,0.126,250087
C0154,22,3,29,0.131,202431
C0155,45,3,9,0.081,267051
C0156,27,3,23,0.066,150680
C0157,39,8,51,0.001,335489
C0158,27,4,13,0.032,138133
C0159,29,3,10,0.056,154354
C0160,29,7,7,0.037,230750
C0161,29,4,50,0.047,239166
C0162,21,3,8,0.044,180716
C0163,33,3,35,0.014,226607
C0164,24,5,60,0.14,225502
C0165,26,1,39,0.061,177176
C0166,17,1,25,0.046,106337
C0167,31,6,13,0.055,227689
C0168,37,5,1,0.049,193872
C0169,20,2,10,0.026,100782
C0170,36,3,58,0.023,281371
C0171,13,1,9,0.024,92579
C0172,28,1,2,0.048,117751
C0173,32,1,49,0.063,155511
C0174,42,3,26,0.048,293649
C0175,28,4,22,0.037,239885
C0176,20,5,44,0.034,192783
C0177,33,1,32,0.04,139023
C0178,23,3,55,0.043,184191
C0179,40,3,29,0.04,210406
C0180,36,2,43,0.047,163467
C0181,45,6,53,0.087,325369
C0182,32,2,28,0.061,218353
C0183,21,5,18,0.082,157083
C0184,27,3,59,0.036,163695
C0185,17,2,14,0.08,107489
C0186,25,5,3,0.102,185672
C0187,26,1,35,0.154,220666
C0188,24,3,60,0.06,235660
C0189,24,3,6,0.04,182451
C0190,31,1,51,0.076,156727
C0191,27,3,50,0.07,189479
C0192,37,4,56,0.155,209140
C0193,32,4,26,0.084,240081
C0194,38,6,16,0.03,271087
C0195,35,1,31,0.128,208550
C0196,21,3,9,0.093,145011
C0197,23,2,51,0.002,155798
C0198,40,4,40,0.08,248352
C0199,30,8,29,0.079,329586
C0200,23,4,31,0.174,157662
C0201,29,3,43,0.027,217772
C0202,25,7,32,0.054,264103
C0203,25,3,51,0.044,155568
C0204,19,3,56,0.021,107969
C0205,32,5,57,0.052,253683
C0206,30,5,38,0.093,292960
