customer_id,login_days_30d,order_count_90d,support_tickets_90d,membership_months,days_since_last_login,billing_issue_count_90d,next_30d_churn
1,2,3,5,36,11,1,1
2,23,4,3,20,38,0,1
3,20,3,3,58,28,1,0
4,13,1,5,44,15,0,0
5,13,1,0,45,28,1,1
6,26,4,2,44,30,0,0
7,2,0,2,27,31,1,1
8,21,1,0,58,16,0,0
9,6,3,2,13,26,1,1
10,2,5,1,35,1,1,0
11,16,1,2,5,18,1,0
12,30,4,0,18,17,0,0
13,22,2,1,35,24,0,1
14,23,3,2,30,43,0,0
15,22,1,1,57,43,1,1
16,24,3,1,37,22,2,1
17,15,5,2,25,29,1,1
18,3,3,1,26,4,0,0
19,26,4,2,37,22,1,0
20,13,2,5,48,31,2,1
21,15,1,3,17,31,0,1
22,11,4,2,36,44,0,0
23,5,3,2,35,21,2,1
24,28,0,3,1,41,1,1
25,24,3,1,55,45,1,0
26,19,6,0,35,26,0,0
27,12,4,1,15,4,0,0
28,25,7,0,39,17,0,0
29,16,1,2,41,35,0,0
30,13,2,2,55,26,0,1
31,13,2,0,3,43,0,1
32,7,1,0,25,37,0,1
33,2,3,1,11,2,0,0
34,17,2,0,35,39,2,0
35,27,7,0,31,16,1,0
36,1,0,4,29,37,1,1
37,26,2,0,59,23,0,0
38,25,6,1,32,20,3,1
39,8,2,1,25,3,0,0
40,19,3,1,5,5,1,0
41,5,2,4,18,27,2,1
42,23,2,0,54,26,0,0
43,21,2,2,28,25,0,0
44,10,6,2,55,7,0,0
45,2,4,2,32,23,2,1
46,30,7,1,33,2,1,0
47,13,2,2,26,6,1,0
48,27,3,1,34,22,2,1
49,21,1,3,5,28,1,1
50,24,4,4,4,30,0,1
51,23,5,1,29,45,3,1
52,6,6,1,36,39,2,1
53,11,6,1,34,17,0,0
54,14,3,0,26,36,0,0
55,15,1,3,18,4,1,0
56,1,6,1,43,39,0,0
57,16,4,1,37,17,0,0
58,4,1,2,3,34,1,0
59,23,3,1,28,44,4,1
60,21,3,1,43,32,1,0
61,28,3,0,48,42,1,0
62,23,2,0,18,0,2,0
63,11,5,0,56,7,1,0
64,29,4,2,40,28,0,0
65,12,2,1,27,24,0,0
66,10,5,3,38,5,0,0
67,28,4,2,53,33,2,0
68,11,3,3,14,2,2,0
69,2,1,0,10,45,0,0
70,14,1,2,27,7,1,0
71,24,4,2,6,20,1,0
72,5,4,1,51,37,1,1
73,14,6,0,59,23,0,0
74,4,2,0,37,34,1,1
75,21,5,3,59,32,0,0
76,14,6,4,5,43,1,1
77,10,2,1,38,21,0,0
78,7,3,2,27,45,0,1
79,17,2,1,17,23,1,1
80,20,1,2,19,41,0,1
81,29,3,0,33,33,0,0
82,13,2,3,39,6,0,0
83,4,3,3,10,29,1,1
84,25,1,3,37,40,0,1
85,19,2,0,56,5,1,1
86,21,3,1,1,38,0,1
87,3,4,1,53,4,2,1
88,9,3,1,37,40,0,1
89,23,2,0,21,36,0,1
90,25,2,0,45,6,0,0
91,13,2,0,38,33,1,0
92,24,1,1,47,5,2,0
93,26,2,1,5,26,1,0
94,12,3,0,4,42,0,0
95,27,5,2,39,9,1,0
96,8,6,3,19,7,1,0
97,7,4,3,15,19,0,0
98,21,1,1,26,16,1,1
99,19,1,0,44,2,1,0
100,4,4,1,11,20,0,0
101,25,3,1,59,11,0,0
102,6,4,1,26,5,1,0
103,24,0,1,10,12,1,0
104,0,5,1,5,0,0,0
105,24,2,1,52,42,0,0
106,24,4,0,7,45,0,0
107,24,3,0,26,16,1,0
108,20,5,0,41,40,1,0
109,14,4,0,31,21,1,0
110,21,3,2,16,41,2,1
111,8,3,2,7,7,1,0
112,24,2,1,43,13,0,0
113,17,6,0,30,34,1,0
114,14,5,4,3,10,4,1
115,15,4,0,11,37,1,1
116,17,1,1,34,19,0,1
117,1,5,0,11,18,0,0
118,4,5,0,24,20,0,0
119,7,2,1,8,36,2,1
120,3,1,0,48,0,0,0
121,13,4,2,38,34,1,1
122,20,3,0,48,35,2,1
123,20,3,1,4,37,0,1
124,14,1,1,23,45,0,1
125,26,3,0,17,35,0,1
126,17,8,1,38,24,0,0
127,2,2,0,50,21,0,0
128,23,3,1,14,17,0,0
129,17,2,2,47,38,0,1
130,19,4,1,35,18,0,0
131,17,5,1,50,26,1,0
132,17,2,0,5,4,1,0
133,2,3,2,60,14,0,0
134,17,5,3,27,12,0,0
135,24,2,2,17,20,1,0
136,9,7,2,11,23,1,0
137,18,1,1,60,32,1,0
138,0,4,3,54,19,0,0
139,10,2,1,8,6,1,1
140,13,2,2,27,25,0,1
141,30,4,0,45,2,1,0
142,6,5,1,36,39,0,1
143,8,1,4,12,35,0,1
144,12,5,2,22,10,0,0
145,30,3,4,23,12,2,0
146,26,2,0,18,1,0,0
147,1,2,1,58,16,1,0
148,7,5,1,13,1,0,0
149,25,5,2,43,43,2,0
150,1,2,2,55,6,0,0
151,26,6,0,48,30,0,0
152,8,6,0,48,26,2,1
153,28,4,2,10,10,0,0
154,9,2,0,8,37,1,1
155,13,3,1,47,5,0,0
156,20,4,1,45,40,1,0
157,3,2,1,45,34,0,1
158,17,1,3,26,29,0,1
159,15,6,0,32,40,1,1
160,24,4,0,1,18,2,0
161,30,1,2,18,12,1,0
162,20,6,0,32,7,0,0
163,12,4,1,8,42,2,0
164,12,9,3,8,18,0,0
165,12,3,2,3,38,0,0
166,25,4,1,13,15,1,0
167,9,0,3,60,43,1,1
168,5,3,2,42,40,2,1
169,10,2,2,57,14,0,0
170,0,2,2,16,22,1,1
171,3,4,4,36,36,0,0
172,2,2,1,54,10,1,0
173,23,4,2,22,1,1,0
174,22,7,3,40,13,0,0
175,21,3,2,42,27,1,1
176,14,2,3,50,6,0,1
177,22,6,1,59,15,2,1
178,4,4,0,37,42,1,1
179,27,2,1,35,3,0,0
180,15,1,1,53,2,2,0
181,29,1,2,42,19,0,0
182,4,2,1,22,0,0,0
183,15,3,1,38,1,0,0
184,21,4,1,33,8,2,0
185,15,4,1,14,4,0,0
186,13,3,1,31,37,0,1
187,5,2,1,38,5,0,0
188,11,1,2,55,24,1,1
189,7,4,1,35,32,0,1
190,9,6,1,10,28,2,0
191,21,3,4,60,30,0,1
192,19,4,4,35,16,0,0
193,18,1,2,18,40,0,1
194,11,3,4,46,3,1,0
195,29,4,0,24,4,0,0
196,2,3,0,23,39,0,1
197,10,0,1,51,3,1,0
198,3,3,3,53,8,1,0
199,10,4,1,32,7,3,0
200,29,2,1,23,1,0,0
201,11,2,0,52,5,0,0
202,28,2,0,11,26,0,0
203,15,2,1,45,30,0,1
204,21,1,3,36,3,0,0
205,14,3,0,52,43,0,0
206,8,3,1,26,4,0,0
