customer_id,login_days_30d,order_count_90d,membership_months,days_since_last_login,monthly_fee,support_tickets_90d,contract_type,region,device_type,next_30d_churn
1,2,6.0,49,31,56137.0,2.0,annual,other,mobile,0
2,23,2.0,33,40,68460.0,2.0,monthly,seoul,mobile,1
3,20,2.0,56,15,54803.0,1.0,monthly,seoul,desktop,0
4,13,2.0,45,46,50251.0,,,seoul,mobile,1
5,13,2.0,57,38,51238.0,1.0,two_year,seoul,desktop,1
6,26,3.0,34,10,69887.0,1.0,annual,gyeonggi,desktop,0
7,2,2.0,1,57,73377.0,0.0,monthly,seoul,desktop,0
8,21,6.0,10,2,44993.0,2.0,monthly,seoul,desktop,0
9,6,1.0,34,39,44971.0,1.0,monthly,other,mobile,1
10,2,2.0,29,26,60690.0,1.0,monthly,gyeonggi,mobile,0
11,16,6.0,58,39,77913.0,0.0,annual,other,desktop,0
12,30,2.0,30,47,72190.0,3.0,annual,seoul,mobile,1
13,22,3.0,62,41,36222.0,3.0,monthly,other,mobile,1
14,23,2.0,14,39,51039.0,2.0,annual,gyeonggi,mobile,0
15,22,2.0,28,51,41041.0,1.0,annual,gyeonggi,mobile,0
16,24,2.0,55,42,50987.0,4.0,annual,seoul,desktop,0
17,15,5.0,9,49,79066.0,2.0,monthly,other,mobile,0
18,3,1.0,24,24,33661.0,1.0,monthly,gyeonggi,desktop,1
19,26,5.0,55,12,30717.0,0.0,monthly,other,tablet,0
20,13,5.0,43,14,42572.0,3.0,monthly,gyeonggi,mobile,0
21,15,2.0,57,37,59310.0,2.0,monthly,other,desktop,1
22,11,3.0,38,32,64311.0,2.0,monthly,gyeonggi,mobile,1
23,5,1.0,62,4,61562.0,0.0,monthly,other,mobile,1
24,28,4.0,64,12,72635.0,0.0,monthly,seoul,mobile,0
25,24,5.0,71,59,28554.0,1.0,two_year,,mobile,0
26,19,6.0,9,44,72825.0,0.0,annual,gyeonggi,mobile,0
27,12,6.0,43,46,50319.0,0.0,monthly,gyeonggi,mobile,0
28,25,3.0,9,12,,0.0,two_year,gyeonggi,mobile,0
29,16,0.0,17,3,35149.0,1.0,,gyeonggi,mobile,0
30,13,7.0,22,17,55074.0,1.0,monthly,gyeonggi,desktop,0
31,13,4.0,47,52,58544.0,0.0,annual,other,mobile,1
32,7,1.0,32,30,72336.0,0.0,monthly,seoul,desktop,1
33,2,,63,47,31221.0,1.0,monthly,other,tablet,1
34,17,3.0,22,29,55461.0,1.0,monthly,seoul,desktop,1
35,27,3.0,45,29,,1.0,annual,gyeonggi,desktop,0
36,1,2.0,55,36,62582.0,2.0,annual,other,desktop,0
37,26,4.0,71,58,66658.0,0.0,monthly,seoul,desktop,0
38,25,4.0,18,26,74308.0,,monthly,seoul,tablet,1
39,8,2.0,53,36,46975.0,0.0,monthly,seoul,tablet,1
40,19,1.0,7,56,68908.0,1.0,annual,gyeonggi,mobile,0
41,5,5.0,40,22,75414.0,3.0,monthly,seoul,desktop,1
42,23,6.0,30,51,30351.0,2.0,two_year,,desktop,1
43,21,1.0,70,32,64185.0,3.0,annual,other,mobile,0
44,10,1.0,56,53,69378.0,0.0,,seoul,mobile,1
45,2,0.0,67,28,51119.0,2.0,annual,gyeonggi,desktop,1
46,30,3.0,62,38,36838.0,0.0,monthly,gyeonggi,desktop,0
47,13,5.0,30,19,69144.0,1.0,monthly,seoul,mobile,0
48,27,5.0,53,38,37007.0,1.0,monthly,seoul,mobile,0
49,21,2.0,3,19,52325.0,0.0,monthly,other,mobile,0
50,24,2.0,41,37,54398.0,0.0,annual,gyeonggi,mobile,0
51,23,6.0,4,48,65733.0,0.0,two_year,seoul,tablet,0
52,6,5.0,53,26,45601.0,2.0,monthly,other,desktop,1
53,11,4.0,70,26,44731.0,3.0,monthly,gyeonggi,mobile,1
54,14,2.0,50,19,56484.0,1.0,annual,seoul,mobile,0
55,15,1.0,61,44,70096.0,3.0,monthly,gyeonggi,desktop,1
56,1,3.0,17,36,89312.0,1.0,monthly,gyeonggi,desktop,1
57,16,1.0,72,31,32388.0,1.0,two_year,seoul,mobile,0
58,4,1.0,40,1,59730.0,3.0,annual,other,mobile,1
59,23,2.0,49,6,38702.0,,,seoul,mobile,0
60,21,1.0,56,0,70282.0,1.0,monthly,seoul,desktop,0
61,28,2.0,47,51,40922.0,1.0,monthly,seoul,desktop,1
62,23,3.0,23,51,44880.0,2.0,monthly,gyeonggi,mobile,1
63,11,4.0,45,4,46161.0,2.0,two_year,gyeonggi,tablet,0
64,29,3.0,48,2,53857.0,2.0,monthly,other,desktop,0
65,12,1.0,62,47,59848.0,3.0,monthly,seoul,tablet,1
66,10,2.0,35,32,62256.0,1.0,monthly,other,mobile,1
67,28,0.0,37,18,54913.0,0.0,annual,gyeonggi,mobile,0
68,11,2.0,37,37,,3.0,annual,seoul,tablet,0
69,2,1.0,9,14,65917.0,1.0,annual,seoul,tablet,0
70,14,2.0,7,12,54206.0,,,other,tablet,0
71,24,3.0,2,22,,2.0,annual,seoul,desktop,0
72,5,5.0,48,54,44384.0,1.0,monthly,gyeonggi,mobile,1
73,14,6.0,31,46,30966.0,0.0,monthly,gyeonggi,mobile,0
74,4,3.0,63,11,54490.0,2.0,monthly,seoul,mobile,1
75,21,1.0,51,34,74439.0,0.0,annual,other,tablet,0
76,14,0.0,11,53,57414.0,1.0,monthly,other,mobile,1
77,10,1.0,8,58,52005.0,3.0,two_year,gyeonggi,desktop,0
78,7,4.0,27,46,41945.0,2.0,monthly,gyeonggi,tablet,0
79,17,3.0,67,7,81366.0,1.0,monthly,gyeonggi,tablet,0
80,20,4.0,4,14,39556.0,1.0,annual,gyeonggi,tablet,0
81,29,0.0,14,13,44119.0,1.0,annual,seoul,mobile,0
82,13,5.0,3,9,63551.0,0.0,monthly,gyeonggi,mobile,0
83,4,2.0,30,10,27160.0,1.0,annual,seoul,tablet,0
84,25,4.0,72,19,74119.0,2.0,monthly,gyeonggi,mobile,0
85,19,3.0,50,33,64363.0,2.0,monthly,gyeonggi,mobile,0
86,21,5.0,36,24,68488.0,1.0,annual,seoul,tablet,0
87,3,4.0,11,25,63372.0,2.0,annual,other,desktop,0
88,9,3.0,26,14,52583.0,1.0,monthly,seoul,mobile,0
89,23,3.0,38,9,39053.0,0.0,monthly,seoul,mobile,0
90,25,2.0,20,60,52899.0,0.0,annual,seoul,mobile,1
91,13,6.0,51,36,40371.0,0.0,monthly,gyeonggi,tablet,0
92,24,5.0,71,14,62292.0,0.0,two_year,,desktop,0
93,26,4.0,15,49,67102.0,2.0,annual,gyeonggi,mobile,0
94,12,1.0,19,50,77152.0,1.0,two_year,gyeonggi,mobile,0
95,27,5.0,10,58,60577.0,0.0,monthly,seoul,desktop,1
96,8,5.0,53,9,,3.0,annual,other,tablet,1
97,7,2.0,34,39,50543.0,3.0,monthly,seoul,mobile,1
98,21,,21,59,47826.0,0.0,monthly,gyeonggi,desktop,1
99,19,4.0,16,49,62105.0,3.0,monthly,seoul,mobile,1
100,4,3.0,6,13,49203.0,2.0,monthly,gyeonggi,mobile,0
101,25,2.0,35,54,59038.0,2.0,two_year,other,mobile,0
102,6,1.0,50,25,39082.0,1.0,annual,seoul,mobile,0
103,24,4.0,17,29,41776.0,2.0,annual,seoul,mobile,1
104,0,4.0,1,34,64531.0,,,seoul,mobile,0
105,24,4.0,35,47,68300.0,1.0,annual,seoul,mobile,0
106,24,2.0,49,7,40215.0,1.0,annual,other,mobile,0
107,24,3.0,25,32,65059.0,1.0,annual,gyeonggi,mobile,0
108,20,1.0,19,49,47009.0,2.0,annual,gyeonggi,desktop,1
109,14,4.0,12,33,55248.0,3.0,annual,other,mobile,0
110,21,3.0,54,16,,1.0,monthly,other,mobile,0
111,8,,63,3,67112.0,2.0,two_year,other,tablet,0
112,24,2.0,56,33,66938.0,1.0,monthly,seoul,mobile,1
113,17,2.0,38,42,83632.0,1.0,monthly,seoul,desktop,0
114,14,5.0,53,33,44442.0,1.0,two_year,seoul,desktop,1
115,15,1.0,29,59,,1.0,monthly,seoul,desktop,1
116,17,6.0,2,36,44168.0,4.0,monthly,seoul,mobile,0
117,1,2.0,27,31,51182.0,1.0,monthly,seoul,mobile,1
118,4,4.0,51,3,19682.0,1.0,monthly,seoul,desktop,0
119,7,2.0,47,34,51889.0,0.0,two_year,,desktop,1
120,3,2.0,72,10,46831.0,1.0,annual,seoul,mobile,0
